X,Y,OBJECTID,PARK_ID,FACILITYID,COURT_ID,PARKNAME,PARKNAME_FR,CLUB,CLUB_FR,SURFACE_COLOUR,ADDRESS,ADDRESS_FR,NO_COURTS,INDOOR_COURT,OUTDOOR_COURT,LIGHTS,CLUBHOUSE,BENCHES,FENCE,PRACTICE_COURT,BACKWALL,COURT_TYPE,COURT_TYPE_FR,ACCESSIBLE,OPEN,MODIFIED_DATE,CREATED_DATE,SURFACE_COLOUR_FR,PARKADDRESS,PARKADDRESS_FR,LINK,LINK_FR,LINK_LABEL,LINK_LABEL_FR,LINK_DESCRIPTION,LINK_DESCRIPTION_FR,PICKLEBALL
-75.9549738185733,45.3760953928013,1,903,27037,46,March Central Community Centre and Park,Parc et centre communautaire March Central,Public Tennis Courts,Courts de tennis publics,Asphalt,630 Cameron Harvey Drive,"630, promenade Cameron Harvey",1,0,1,no/non,no/non,no/non,yes/oui,no/non,yes/oui,Public Courts,Courts publics,no/non,,2021/08/18 10:51:57+00,,asphalte,"630 Cameron Harvey Drive, Kanata","630, promenade Cameron Harvey, Kanata",,,,,,,0
-75.786420146918,45.3567184538356,2,22,3737,28,Frank Ryan Park,Parc Frank-Ryan,Public Tennis Courts,Courts de tennis publics,Asphalt,"950 Alpine Avenue, Ottawa","950, avenue Alpine, Ottawa",2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,yes/oui,Public Courts,Courts publics,no/non,,2021/08/18 10:51:57+00,,asphalte,"950 Alpine Avenue, Ottawa","950, avenue Alpine, Ottawa",,,,,,,0
-75.9222090855152,45.3281936010356,3,1801,36403,77,Walden Park,Parc Walden,Public Tennis Courts,Courts de tennis publics,Asphalt,"130 Walden Drive, Kanata","130, promenade Walden, Kanata",1,0,1,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2021/08/18 10:51:56+00,,asphalte,"130 Walden Drive, Kanata","130, promenade Walden, Kanata",,,,,,,0
-75.6361120177596,45.3556326039097,4,964,27048,69,Sieveright Park,Parc Sieveright,Public Tennis Courts,Courts de tennis publics,Asphalt,"2999 Sable Ridge Drive, Gloucester","2999, promenade Sable Ridge, Gloucester",2,0,2,yes/oui,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2021/08/18 10:53:58+00,,asphalte,"2999 Sable Ridge Drive, Gloucester","2999, promenade Sable Ridge, Gloucester",,,,,,,2
-75.6448154657641,45.3915442616262,5,831,3166,61,Playfair Park,Parc Playfair,Public Tennis Courts,Courts de tennis publics,Asphalt,"1801 Playfair Drive, Ottawa","1801, promenade Playfair, Ottawa",2,0,2,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2021/08/18 10:51:57+00,,asphalte,"1801 Playfair Drive, Ottawa","1801, promenade Playfair, Ottawa",,,,,,,0
-75.7017209820834,45.3595316082182,6,31,3722,13,Carleton Heights Park,Parc Carleton Heights,Public Tennis Courts,Courts de tennis publics,Asphalt,"1665 Apeldoorn Avenue, Ottawa","1665, avenue Apeldoorn, Ottawa",2,0,2,no/non,no/non,no/non,no/non,no/non,no/non,Public Courts,Courts publics,no/non,,2021/08/18 10:51:58+00,,asphalte,"1665 Apeldoorn Avenue, Ottawa","1665, avenue Apeldoorn, Ottawa",,,,,,,2
-75.8429055993324,45.1967728802535,7,506,7599,43,Richmond Lions Community Park,Parc communautaire Lions de Richmond,Public Tennis Courts,Courts de tennis publics,Asphalt,"3302 Huntley Road, Goulbourn","3302, chemin Huntley, Goulbourn",2,0,2,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,Public Courts,Courts publics,no/non,,2021/08/18 10:51:58+00,,asphalte,"3302 Huntley Road, Goulbourn","3302, chemin Huntley, Goulbourn",,,,,,,2
-75.644904107923,45.346926882974,8,1111,27046,75,Trappers Park,Parc Trappers,Public Tennis Courts,Courts de tennis publics,Asphalt,"3580 Trapper's Road, Gloucester","3580, chemin Trapper's, Gloucester",1,0,1,no/non,no/non,yes/oui,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2021/08/18 10:51:59+00,,asphalte,"3580 Trapper's Road, Gloucester","3580, chemin Trapper's, Gloucester",,,,,,,1
-75.6757772144699,45.4209883755943,9,1094,3788,71,St. Germain Park,Parc St-Germain,Public Tennis Courts,Courts de tennis publics,Green Acrylic,"86 Templeton Street, Ottawa","86, rue Templeton, Ottawa",3,0,3,yes/oui,no/non,no/non,yes/oui,no/non,no/non,Public Courts,Courts publics,no/non,,2018/01/17 09:09:37+00,,acrylique vert,"86 A Templeton Street, Ottawa","86 A, rue Templeton, Ottawa",,,,,,,0
-75.8213683628349,45.319702069568,10,1080,27020,13,Lynwood Park,Parc Lynwood,Lynwood Tennis Club,Club de tennis de Lynwood,Green Acrylic,"7 Sycamore Drive, Nepean","7, promenade Sycamore, Nepean",4,0,4,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui,Membership Clubs,Abonnement des clubs,no/non,,2018/01/17 09:09:51+00,,acrylique vert,"7 Sycamore Drive, Nepean","7, promenade Sycamore, Nepean",,,,,,,0
